127.0.0.1 - - [12/Dec/2019:11:54:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/circle-progress.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/jquery.countTo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/jquery.barfiller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:43 +0530] "GET /BBMS/Designs/images/hero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:44 +0530] "GET /BBMS/Designs/images/footer-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:57 +0530] "GET /BBMS/Blood/donor_view_all.jsp HTTP/1.1" 200 32333
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:57 +0530] "GET /BBMS/Blood/css/bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:57 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:57 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:57 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:57 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/images/logo.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/images/footer-bg.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:58 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/receiver_add.jsp HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/css/bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/images/logo.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/images/logo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/images/footer-bg.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:01 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:12 +0530] "GET /BBMS/Designs/index.jsp HTTP/1.1" 200 14949
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:44 +0530] "GET /ReceiverSpring/index.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/receiver_view HTTP/1.1" 200 13098
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /Designs/css/bootstrap.min.css HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /Designs/css/swiper.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/css/bootstrap.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/css/swiper.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/style.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/jquery.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/custom.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/swiper.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/jquery.collapsible.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/jquery.countdown.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/jquery.barfiller.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/jquery.countTo.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/js/circle-progress.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/images/logo.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/images/footer-bg.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:50 +0530] "GET /ReceiverSpring/images/logo2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:55 +0530] "GET /ReceiverSpring/receiver_add HTTP/1.1" 200 7564
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /Designs/css/bootstrap.min.css HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /Designs/css/swiper.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/style.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/custom.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/css/bootstrap.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/jquery.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/css/swiper.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/images/logo.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/jquery.collapsible.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/swiper.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/jquery.countdown.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/circle-progress.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/style.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/jquery.countTo.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/jquery.barfiller.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/images/logo2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/custom.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/images/footer-bg.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:55:56 +0530] "GET /ReceiverSpring/js/custom.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:31 +0530] "GET /BBMS/Designs/index.jsp HTTP/1.1" 200 14949
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/donor_add.jsp HTTP/1.1" 200 8677
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/includes/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/css/bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/images/logo.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:44 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:45 +0530] "GET /BBMS/Blood/images/footer-bg.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/receiver_add.jsp HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/css/bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/images/logo.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/images/footer-bg.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:50 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:55 +0530] "GET /BBMS/Designs/index.jsp HTTP/1.1" 200 14949
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/login_redirect.jsp HTTP/1.1" 200 6727
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/css/swiper.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/Designs/https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css HTTP/1.1" 404 1209
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/css/bootstrap.min.css HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/style.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/js/custom.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/js/jquery.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/css/swiper.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:56:59 +0530] "GET /BBMS/includes/js/swiper.min.js HTTP/1.1" 404 1116
